scope,label,metric,confidence_level,densenet_ci_low,densenet_ci_high,rad_dino_ci_low,rad_dino_ci_high,delta_ci_low,delta_ci_high,densenet_valid_replicates,rad_dino_valid_replicates,delta_valid_replicates,interpretation
label,Infiltration,specificity,0.95,0.4837275814809789,0.5339118530103945,0.48098197865562986,0.5280158256813006,-0.016052119701137867,0.008900694168814864,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Mass,specificity,0.95,0.9429804920452483,0.9582907596005126,0.904216412948479,0.9264151600801345,-0.043773400193157494,-0.02682197186609184,1000,1000,1000,DENSENET_HIGHER
label,Nodule,specificity,0.95,0.9195722566038508,0.9406901402213707,0.9557117604270527,0.9690312689829423,0.023399357013802594,0.041174058549554915,1000,1000,1000,RAD_DINO_HIGHER
label,Pneumonia,specificity,0.95,0.7168067817155598,0.7668399435384134,0.8358149450749424,0.8731559494857555,0.09667392053499953,0.13092728385969069,1000,1000,1000,RAD_DINO_HIGHER
label,Pneumothorax,specificity,0.95,0.9110565379163714,0.9347219499908752,0.8653916270104469,0.8966864962588219,-0.05010268411401657,-0.0354196898189733,1000,1000,1000,DENSENET_HIGHER
label,Consolidation,specificity,0.95,0.8339431672163695,0.8660356109730298,0.6721075181469294,0.7239110588407773,-0.17066726920593928,-0.13167630045013923,1000,1000,1000,DENSENET_HIGHER
label,Edema,specificity,0.95,0.8774559361290976,0.9151885240114078,0.9078804241869195,0.937335134938509,0.016124358324788462,0.03663302298019296,1000,1000,1000,RAD_DINO_HIGHER
label,Emphysema,specificity,0.95,0.9598858248078138,0.9713159663219082,0.8348448692476101,0.8724914074462837,-0.12654661409460316,-0.09619967258910236,1000,1000,1000,DENSENET_HIGHER
label,Fibrosis,specificity,0.95,0.9525617364981062,0.9672282464792021,0.9940202840535967,0.9974725546413985,0.029076198318264995,0.04277717047374986,1000,1000,1000,RAD_DINO_HIGHER
label,Pleural_Thickening,specificity,0.95,0.8660282182435204,0.897286502329431,0.9037066597730847,0.9307310754372149,0.02711314923488625,0.04599525193186631,1000,1000,1000,RAD_DINO_HIGHER
label,Hernia,specificity,0.95,0.9985129252017674,0.9993885491161745,0.9985315303788679,0.9997272680099892,-0.0005232879174487197,0.0009170072795864067,1000,1000,1000,NO_CLEAR_DIFFERENCE
macro,ALL_LABELS,specificity,0.95,0.8651625761338241,0.8755365049899794,0.8529098054075527,0.8637200985036383,-0.01519754422859423,-0.008439395266977004,1000,1000,1000,DENSENET_HIGHER
